Datum     ;Uhrzeit   ;Zeit;Wärmemenge in kWh    
16.01.2019;10:00;16.01.2019 10:00;850
16.01.2019;11:00;16.01.2019 11:00;1090
16.01.2019;12:00;16.01.2019 12:00;1070
16.01.2019;13:00;16.01.2019 13:00;1110
16.01.2019;14:00;16.01.2019 14:00;1060
16.01.2019;15:00;16.01.2019 15:00;1090
16.01.2019;16:00;16.01.2019 16:00;1040
16.01.2019;17:00;16.01.2019 17:00;1110
16.01.2019;18:00;16.01.2019 18:00;1010
16.01.2019;19:00;16.01.2019 19:00;1090
16.01.2019;20:00;16.01.2019 20:00;1010
16.01.2019;21:00;16.01.2019 21:00;1110
16.01.2019;22:00;16.01.2019 22:00;990
16.01.2019;23:00;16.01.2019 23:00;1040
17.01.2019;00:00;17.01.2019 00:00;880
17.01.2019;01:00;17.01.2019 01:00;1040
17.01.2019;02:00;17.01.2019 02:00;880
17.01.2019;03:00;17.01.2019 03:00;1030
17.01.2019;04:00;17.01.2019 04:00;940
17.01.2019;05:00;17.01.2019 05:00;970
17.01.2019;06:00;17.01.2019 06:00;1070
17.01.2019;07:00;17.01.2019 07:00;1040
17.01.2019;08:00;17.01.2019 08:00;1230
17.01.2019;09:00;17.01.2019 09:00;1260
17.01.2019;10:00;17.01.2019 10:00;1210
17.01.2019;11:00;17.01.2019 11:00;1030
17.01.2019;12:00;17.01.2019 12:00;1180
17.01.2019;13:00;17.01.2019 13:00;1170
17.01.2019;14:00;17.01.2019 14:00;1270
17.01.2019;15:00;17.01.2019 15:00;1160
17.01.2019;16:00;17.01.2019 16:00;1280
17.01.2019;17:00;17.01.2019 17:00;1150
17.01.2019;18:00;17.01.2019 18:00;1340
17.01.2019;19:00;17.01.2019 19:00;1140
17.01.2019;20:00;17.01.2019 20:00;1300
17.01.2019;21:00;17.01.2019 21:00;1140
17.01.2019;22:00;17.01.2019 22:00;1280
17.01.2019;23:00;17.01.2019 23:00;1080
18.01.2019;00:00;18.01.2019 00:00;1130
18.01.2019;01:00;18.01.2019 01:00;1140
18.01.2019;02:00;18.01.2019 02:00;1080
18.01.2019;03:00;18.01.2019 03:00;1190
18.01.2019;04:00;18.01.2019 04:00;1100
18.01.2019;05:00;18.01.2019 05:00;1150
18.01.2019;06:00;18.01.2019 06:00;1370
18.01.2019;07:00;18.01.2019 07:00;1240
18.01.2019;08:00;18.01.2019 08:00;1500
18.01.2019;09:00;18.01.2019 09:00;1490
18.01.2019;10:00;18.01.2019 10:00;1360
18.01.2019;11:00;18.01.2019 11:00;1410
18.01.2019;12:00;18.01.2019 12:00;1250
18.01.2019;13:00;18.01.2019 13:00;1280
18.01.2019;14:00;18.01.2019 14:00;1210
18.01.2019;15:00;18.01.2019 15:00;1200
18.01.2019;16:00;18.01.2019 16:00;1180
18.01.2019;17:00;18.01.2019 17:00;1190
18.01.2019;18:00;18.01.2019 18:00;1320
18.01.2019;19:00;18.01.2019 19:00;1290
18.01.2019;20:00;18.01.2019 20:00;1340
18.01.2019;21:00;18.01.2019 21:00;1310
18.01.2019;22:00;18.01.2019 22:00;1290
18.01.2019;23:00;18.01.2019 23:00;1140
19.01.2019;00:00;19.01.2019 00:00;1180
19.01.2019;01:00;19.01.2019 01:00;1160
19.01.2019;02:00;19.01.2019 02:00;1160
19.01.2019;03:00;19.01.2019 03:00;1230
19.01.2019;04:00;19.01.2019 04:00;1120
19.01.2019;05:00;19.01.2019 05:00;1260
19.01.2019;06:00;19.01.2019 06:00;1320
19.01.2019;07:00;19.01.2019 07:00;1290
19.01.2019;08:00;19.01.2019 08:00;1470
19.01.2019;09:00;19.01.2019 09:00;1260
19.01.2019;10:00;19.01.2019 10:00;1100
19.01.2019;11:00;19.01.2019 11:00;1220
19.01.2019;12:00;19.01.2019 12:00;1110
19.01.2019;13:00;19.01.2019 13:00;1080
19.01.2019;14:00;19.01.2019 14:00;1060
19.01.2019;15:00;19.01.2019 15:00;990
19.01.2019;16:00;19.01.2019 16:00;1130
19.01.2019;17:00;19.01.2019 17:00;1020
19.01.2019;18:00;19.01.2019 18:00;1310
19.01.2019;19:00;19.01.2019 19:00;1350
19.01.2019;20:00;19.01.2019 20:00;1310
19.01.2019;21:00;19.01.2019 21:00;1400
19.01.2019;22:00;19.01.2019 22:00;1240
19.01.2019;23:00;19.01.2019 23:00;1320
20.01.2019;00:00;20.01.2019 00:00;1240
20.01.2019;01:00;20.01.2019 01:00;1260
20.01.2019;02:00;20.01.2019 02:00;1340
20.01.2019;03:00;20.01.2019 03:00;1250
20.01.2019;04:00;20.01.2019 04:00;1390
20.01.2019;05:00;20.01.2019 05:00;1310
20.01.2019;06:00;20.01.2019 06:00;1430
20.01.2019;07:00;20.01.2019 07:00;1530
20.01.2019;08:00;20.01.2019 08:00;1600
20.01.2019;09:00;20.01.2019 09:00;1630
20.01.2019;10:00;20.01.2019 10:00;1490
20.01.2019;11:00;20.01.2019 11:00;1530
20.01.2019;12:00;20.01.2019 12:00;1310
20.01.2019;13:00;20.01.2019 13:00;1390
20.01.2019;14:00;20.01.2019 14:00;1310
20.01.2019;15:00;20.01.2019 15:00;1290
20.01.2019;16:00;20.01.2019 16:00;1330
20.01.2019;17:00;20.01.2019 17:00;1260
20.01.2019;18:00;20.01.2019 18:00;1390
20.01.2019;19:00;20.01.2019 19:00;1360
20.01.2019;20:00;20.01.2019 20:00;1450
20.01.2019;21:00;20.01.2019 21:00;1340
20.01.2019;22:00;20.01.2019 22:00;1420
20.01.2019;23:00;20.01.2019 23:00;1280
21.01.2019;00:00;21.01.2019 00:00;1360
21.01.2019;01:00;21.01.2019 01:00;1410
21.01.2019;02:00;21.01.2019 02:00;1330
21.01.2019;03:00;21.01.2019 03:00;1460
21.01.2019;04:00;21.01.2019 04:00;1430
21.01.2019;05:00;21.01.2019 05:00;1400
21.01.2019;06:00;21.01.2019 06:00;1610
21.01.2019;07:00;21.01.2019 07:00;1510
21.01.2019;08:00;21.01.2019 08:00;1830
21.01.2019;09:00;21.01.2019 09:00;1610
21.01.2019;10:00;21.01.2019 10:00;1740
21.01.2019;11:00;21.01.2019 11:00;1490
21.01.2019;12:00;21.01.2019 12:00;1470
21.01.2019;13:00;21.01.2019 13:00;1280
21.01.2019;14:00;21.01.2019 14:00;1380
21.01.2019;15:00;21.01.2019 15:00;1250
21.01.2019;16:00;21.01.2019 16:00;1360
21.01.2019;17:00;21.01.2019 17:00;1270
21.01.2019;18:00;21.01.2019 18:00;1410
21.01.2019;19:00;21.01.2019 19:00;1290
21.01.2019;20:00;21.01.2019 20:00;1410
21.01.2019;21:00;21.01.2019 21:00;1320
21.01.2019;22:00;21.01.2019 22:00;1320
21.01.2019;23:00;21.01.2019 23:00;1330
22.01.2019;00:00;22.01.2019 00:00;1170
22.01.2019;01:00;22.01.2019 01:00;1330
22.01.2019;02:00;22.01.2019 02:00;1320
22.01.2019;03:00;22.01.2019 03:00;1210
22.01.2019;04:00;22.01.2019 04:00;1340
22.01.2019;05:00;22.01.2019 05:00;1290
22.01.2019;06:00;22.01.2019 06:00;1440
22.01.2019;07:00;22.01.2019 07:00;1350
22.01.2019;08:00;22.01.2019 08:00;1670
22.01.2019;09:00;22.01.2019 09:00;1560
22.01.2019;10:00;22.01.2019 10:00;1550
22.01.2019;11:00;22.01.2019 11:00;1470
22.01.2019;12:00;22.01.2019 12:00;1400
22.01.2019;13:00;22.01.2019 13:00;1280
22.01.2019;14:00;22.01.2019 14:00;1390
22.01.2019;15:00;22.01.2019 15:00;1270
22.01.2019;16:00;22.01.2019 16:00;1420
22.01.2019;17:00;22.01.2019 17:00;1380
22.01.2019;18:00;22.01.2019 18:00;1510
22.01.2019;19:00;22.01.2019 19:00;1390
22.01.2019;20:00;22.01.2019 20:00;1600
22.01.2019;21:00;22.01.2019 21:00;1420
22.01.2019;22:00;22.01.2019 22:00;1490
22.01.2019;23:00;22.01.2019 23:00;1400
23.01.2019;00:00;23.01.2019 00:00;1260
23.01.2019;01:00;23.01.2019 01:00;1400
23.01.2019;02:00;23.01.2019 02:00;1210
23.01.2019;03:00;23.01.2019 03:00;1360
23.01.2019;04:00;23.01.2019 04:00;1300
23.01.2019;05:00;23.01.2019 05:00;1270
23.01.2019;06:00;23.01.2019 06:00;1440
23.01.2019;07:00;23.01.2019 07:00;1330
23.01.2019;08:00;23.01.2019 08:00;1690
23.01.2019;09:00;23.01.2019 09:00;1630
23.01.2019;10:00;23.01.2019 10:00;1450
23.01.2019;11:00;23.01.2019 11:00;1530
23.01.2019;12:00;23.01.2019 12:00;1450
23.01.2019;13:00;23.01.2019 13:00;1430
23.01.2019;14:00;23.01.2019 14:00;1490
23.01.2019;15:00;23.01.2019 15:00;1440
23.01.2019;16:00;23.01.2019 16:00;1510
23.01.2019;17:00;23.01.2019 17:00;1400
23.01.2019;18:00;23.01.2019 18:00;1530
23.01.2019;19:00;23.01.2019 19:00;1420
23.01.2019;20:00;23.01.2019 20:00;1580
23.01.2019;21:00;23.01.2019 21:00;1440
23.01.2019;22:00;23.01.2019 22:00;1490
23.01.2019;23:00;23.01.2019 23:00;1370
24.01.2019;00:00;24.01.2019 00:00;1260
24.01.2019;01:00;24.01.2019 01:00;1410
24.01.2019;02:00;24.01.2019 02:00;1300
24.01.2019;03:00;24.01.2019 03:00;1390
24.01.2019;04:00;24.01.2019 04:00;1340
24.01.2019;05:00;24.01.2019 05:00;1320
24.01.2019;06:00;24.01.2019 06:00;1590
24.01.2019;07:00;24.01.2019 07:00;1420
24.01.2019;08:00;24.01.2019 08:00;1800
24.01.2019;09:00;24.01.2019 09:00;1620
24.01.2019;10:00;24.01.2019 10:00;1660
24.01.2019;11:00;24.01.2019 11:00;1580
24.01.2019;12:00;24.01.2019 12:00;1680
24.01.2019;13:00;24.01.2019 13:00;1530
24.01.2019;14:00;24.01.2019 14:00;1690
24.01.2019;15:00;24.01.2019 15:00;1490
24.01.2019;16:00;24.01.2019 16:00;1640
24.01.2019;17:00;24.01.2019 17:00;1420
24.01.2019;18:00;24.01.2019 18:00;1620
24.01.2019;19:00;24.01.2019 19:00;1450
24.01.2019;20:00;24.01.2019 20:00;1610
24.01.2019;21:00;24.01.2019 21:00;1490
24.01.2019;22:00;24.01.2019 22:00;1450
24.01.2019;23:00;24.01.2019 23:00;1510
25.01.2019;00:00;25.01.2019 00:00;1250
25.01.2019;01:00;25.01.2019 01:00;1420
25.01.2019;02:00;25.01.2019 02:00;1330
25.01.2019;03:00;25.01.2019 03:00;1380
25.01.2019;04:00;25.01.2019 04:00;1380
25.01.2019;05:00;25.01.2019 05:00;1320
25.01.2019;06:00;25.01.2019 06:00;1600
25.01.2019;07:00;25.01.2019 07:00;1480
25.01.2019;08:00;25.01.2019 08:00;1760
25.01.2019;09:00;25.01.2019 09:00;1520
25.01.2019;10:00;25.01.2019 10:00;1620
25.01.2019;11:00;25.01.2019 11:00;1440
25.01.2019;12:00;25.01.2019 12:00;1530
25.01.2019;13:00;25.01.2019 13:00;1410
25.01.2019;14:00;25.01.2019 14:00;1500
25.01.2019;15:00;25.01.2019 15:00;1330
25.01.2019;16:00;25.01.2019 16:00;1450
25.01.2019;17:00;25.01.2019 17:00;1280
25.01.2019;18:00;25.01.2019 18:00;1340
25.01.2019;19:00;25.01.2019 19:00;1360
25.01.2019;20:00;25.01.2019 20:00;1340
25.01.2019;21:00;25.01.2019 21:00;1380
25.01.2019;22:00;25.01.2019 22:00;1260
25.01.2019;23:00;25.01.2019 23:00;1260
26.01.2019;00:00;26.01.2019 00:00;1090
26.01.2019;01:00;26.01.2019 01:00;1180
26.01.2019;02:00;26.01.2019 02:00;1090
26.01.2019;03:00;26.01.2019 03:00;1150
26.01.2019;04:00;26.01.2019 04:00;1070
26.01.2019;05:00;26.01.2019 05:00;1090
26.01.2019;06:00;26.01.2019 06:00;1210
26.01.2019;07:00;26.01.2019 07:00;1100
26.01.2019;08:00;26.01.2019 08:00;1270
26.01.2019;09:00;26.01.2019 09:00;1150
26.01.2019;10:00;26.01.2019 10:00;1100
26.01.2019;11:00;26.01.2019 11:00;1020
26.01.2019;12:00;26.01.2019 12:00;1090
26.01.2019;13:00;26.01.2019 13:00;970
26.01.2019;14:00;26.01.2019 14:00;1070
26.01.2019;15:00;26.01.2019 15:00;1010
26.01.2019;16:00;26.01.2019 16:00;970
26.01.2019;17:00;26.01.2019 17:00;1050
26.01.2019;18:00;26.01.2019 18:00;1070
26.01.2019;19:00;26.01.2019 19:00;1160
26.01.2019;20:00;26.01.2019 20:00;1100
26.01.2019;21:00;26.01.2019 21:00;1160
26.01.2019;22:00;26.01.2019 22:00;1050
26.01.2019;23:00;26.01.2019 23:00;1130
27.01.2019;00:00;27.01.2019 00:00;910
27.01.2019;01:00;27.01.2019 01:00;1090
27.01.2019;02:00;27.01.2019 02:00;930
27.01.2019;03:00;27.01.2019 03:00;1070
27.01.2019;04:00;27.01.2019 04:00;950
27.01.2019;05:00;27.01.2019 05:00;1050
27.01.2019;06:00;27.01.2019 06:00;1070
27.01.2019;07:00;27.01.2019 07:00;1100
27.01.2019;08:00;27.01.2019 08:00;1170
27.01.2019;09:00;27.01.2019 09:00;1210
27.01.2019;10:00;27.01.2019 10:00;1110
27.01.2019;11:00;27.01.2019 11:00;1060
27.01.2019;12:00;27.01.2019 12:00;1140
27.01.2019;13:00;27.01.2019 13:00;1010
27.01.2019;14:00;27.01.2019 14:00;1130
27.01.2019;15:00;27.01.2019 15:00;1040
27.01.2019;16:00;27.01.2019 16:00;1150
27.01.2019;17:00;27.01.2019 17:00;1050
27.01.2019;18:00;27.01.2019 18:00;1250
27.01.2019;19:00;27.01.2019 19:00;1140
27.01.2019;20:00;27.01.2019 20:00;1230
27.01.2019;21:00;27.01.2019 21:00;1170
27.01.2019;22:00;27.01.2019 22:00;1180
27.01.2019;23:00;27.01.2019 23:00;1100
28.01.2019;00:00;28.01.2019 00:00;1090
28.01.2019;01:00;28.01.2019 01:00;1030
28.01.2019;02:00;28.01.2019 02:00;1150
28.01.2019;03:00;28.01.2019 03:00;1080
28.01.2019;04:00;28.01.2019 04:00;1100
28.01.2019;05:00;28.01.2019 05:00;1180
28.01.2019;06:00;28.01.2019 06:00;1200
28.01.2019;07:00;28.01.2019 07:00;1330
28.01.2019;08:00;28.01.2019 08:00;1370
28.01.2019;09:00;28.01.2019 09:00;1410
28.01.2019;10:00;28.01.2019 10:00;1230
28.01.2019;11:00;28.01.2019 11:00;1310
28.01.2019;12:00;28.01.2019 12:00;1210
28.01.2019;13:00;28.01.2019 13:00;1230
28.01.2019;14:00;28.01.2019 14:00;1300
28.01.2019;15:00;28.01.2019 15:00;1260
28.01.2019;16:00;28.01.2019 16:00;1320
28.01.2019;17:00;28.01.2019 17:00;1300
28.01.2019;18:00;28.01.2019 18:00;1270
28.01.2019;19:00;28.01.2019 19:00;1230
28.01.2019;20:00;28.01.2019 20:00;1350
28.01.2019;21:00;28.01.2019 21:00;1250
28.01.2019;22:00;28.01.2019 22:00;1270
28.01.2019;23:00;28.01.2019 23:00;1200
29.01.2019;00:00;29.01.2019 00:00;1170
29.01.2019;01:00;29.01.2019 01:00;1100
29.01.2019;02:00;29.01.2019 02:00;1210
29.01.2019;03:00;29.01.2019 03:00;1130
29.01.2019;04:00;29.01.2019 04:00;1160
29.01.2019;05:00;29.01.2019 05:00;1190
29.01.2019;06:00;29.01.2019 06:00;1320
29.01.2019;07:00;29.01.2019 07:00;1310
29.01.2019;08:00;29.01.2019 08:00;1450
29.01.2019;09:00;29.01.2019 09:00;1460
29.01.2019;10:00;29.01.2019 10:00;1240
29.01.2019;11:00;29.01.2019 11:00;1430
29.01.2019;12:00;29.01.2019 12:00;1180
29.01.2019;13:00;29.01.2019 13:00;1330
29.01.2019;14:00;29.01.2019 14:00;1150
29.01.2019;15:00;29.01.2019 15:00;1220
29.01.2019;16:00;29.01.2019 16:00;1170
29.01.2019;17:00;29.01.2019 17:00;1250
29.01.2019;18:00;29.01.2019 18:00;1170
29.01.2019;19:00;29.01.2019 19:00;1270
29.01.2019;20:00;29.01.2019 20:00;1270
29.01.2019;21:00;29.01.2019 21:00;1320
29.01.2019;22:00;29.01.2019 22:00;1250
29.01.2019;23:00;29.01.2019 23:00;1210
30.01.2019;00:00;30.01.2019 00:00;1090
30.01.2019;01:00;30.01.2019 01:00;1100
30.01.2019;02:00;30.01.2019 02:00;1180
30.01.2019;03:00;30.01.2019 03:00;1090
30.01.2019;04:00;30.01.2019 04:00;1230
30.01.2019;05:00;30.01.2019 05:00;1130
30.01.2019;06:00;30.01.2019 06:00;1290
30.01.2019;07:00;30.01.2019 07:00;1340
30.01.2019;08:00;30.01.2019 08:00;1540
30.01.2019;09:00;30.01.2019 09:00;1400
30.01.2019;10:00;30.01.2019 10:00;1420
30.01.2019;11:00;30.01.2019 11:00;1340
30.01.2019;12:00;30.01.2019 12:00;1410
30.01.2019;13:00;30.01.2019 13:00;1370
30.01.2019;14:00;30.01.2019 14:00;1400
30.01.2019;15:00;30.01.2019 15:00;1290
30.01.2019;16:00;30.01.2019 16:00;1350
30.01.2019;17:00;30.01.2019 17:00;1300
30.01.2019;18:00;30.01.2019 18:00;1400
30.01.2019;19:00;30.01.2019 19:00;1270
30.01.2019;20:00;30.01.2019 20:00;1450
30.01.2019;21:00;30.01.2019 21:00;1240
30.01.2019;22:00;30.01.2019 22:00;1320
30.01.2019;23:00;30.01.2019 23:00;1200
31.01.2019;00:00;31.01.2019 00:00;1110
31.01.2019;01:00;31.01.2019 01:00;1190
31.01.2019;02:00;31.01.2019 02:00;1030
31.01.2019;03:00;31.01.2019 03:00;1200
31.01.2019;04:00;31.01.2019 04:00;1180
31.01.2019;05:00;31.01.2019 05:00;1130
31.01.2019;06:00;31.01.2019 06:00;1450
31.01.2019;07:00;31.01.2019 07:00;1260
31.01.2019;08:00;31.01.2019 08:00;1610
31.01.2019;09:00;31.01.2019 09:00;1560
31.01.2019;10:00;31.01.2019 10:00;1360
31.01.2019;11:00;31.01.2019 11:00;1400
31.01.2019;12:00;31.01.2019 12:00;1400
31.01.2019;13:00;31.01.2019 13:00;1320
31.01.2019;14:00;31.01.2019 14:00;1410
31.01.2019;15:00;31.01.2019 15:00;1260
31.01.2019;16:00;31.01.2019 16:00;1410
31.01.2019;17:00;31.01.2019 17:00;1270
31.01.2019;18:00;31.01.2019 18:00;1370
31.01.2019;19:00;31.01.2019 19:00;1250
31.01.2019;20:00;31.01.2019 20:00;1410
31.01.2019;21:00;31.01.2019 21:00;1280
31.01.2019;22:00;31.01.2019 22:00;1340
31.01.2019;23:00;31.01.2019 23:00;1270
01.02.2019;00:00;01.02.2019 00:00;1170
01.02.2019;01:00;01.02.2019 01:00;1220
01.02.2019;02:00;01.02.2019 02:00;1120
01.02.2019;03:00;01.02.2019 03:00;1250
01.02.2019;04:00;01.02.2019 04:00;1150
01.02.2019;05:00;01.02.2019 05:00;1210
01.02.2019;06:00;01.02.2019 06:00;1380
01.02.2019;07:00;01.02.2019 07:00;1250
01.02.2019;08:00;01.02.2019 08:00;1500
01.02.2019;09:00;01.02.2019 09:00;1420
01.02.2019;10:00;01.02.2019 10:00;1270
01.02.2019;11:00;01.02.2019 11:00;1310
01.02.2019;12:00;01.02.2019 12:00;1200
01.02.2019;13:00;01.02.2019 13:00;1160
01.02.2019;14:00;01.02.2019 14:00;1140
01.02.2019;15:00;01.02.2019 15:00;1010
01.02.2019;16:00;01.02.2019 16:00;1100
01.02.2019;17:00;01.02.2019 17:00;1030
01.02.2019;18:00;01.02.2019 18:00;1180
01.02.2019;19:00;01.02.2019 19:00;1120
01.02.2019;20:00;01.02.2019 20:00;1270
01.02.2019;21:00;01.02.2019 21:00;1150
01.02.2019;22:00;01.02.2019 22:00;1230
01.02.2019;23:00;01.02.2019 23:00;1120
02.02.2019;00:00;02.02.2019 00:00;1020
02.02.2019;01:00;02.02.2019 01:00;1170
02.02.2019;02:00;02.02.2019 02:00;1020
02.02.2019;03:00;02.02.2019 03:00;1150
02.02.2019;04:00;02.02.2019 04:00;1100
02.02.2019;05:00;02.02.2019 05:00;1060
02.02.2019;06:00;02.02.2019 06:00;1290
02.02.2019;07:00;02.02.2019 07:00;1160
02.02.2019;08:00;02.02.2019 08:00;1360
02.02.2019;09:00;02.02.2019 09:00;1340
02.02.2019;10:00;02.02.2019 10:00;1190
02.02.2019;11:00;02.02.2019 11:00;1360
02.02.2019;12:00;02.02.2019 12:00;1220
02.02.2019;13:00;02.02.2019 13:00;1300
02.02.2019;14:00;02.02.2019 14:00;1250
02.02.2019;15:00;02.02.2019 15:00;1320
02.02.2019;16:00;02.02.2019 16:00;1250
02.02.2019;17:00;02.02.2019 17:00;1360
02.02.2019;18:00;02.02.2019 18:00;1230
02.02.2019;19:00;02.02.2019 19:00;1390
02.02.2019;20:00;02.02.2019 20:00;1260
02.02.2019;21:00;02.02.2019 21:00;1340
02.02.2019;22:00;02.02.2019 22:00;1320
02.02.2019;23:00;02.02.2019 23:00;1130
03.02.2019;00:00;03.02.2019 00:00;1190
03.02.2019;01:00;03.02.2019 01:00;1070
03.02.2019;02:00;03.02.2019 02:00;1180
03.02.2019;03:00;03.02.2019 03:00;1120
03.02.2019;04:00;03.02.2019 04:00;1140
03.02.2019;05:00;03.02.2019 05:00;1230
03.02.2019;06:00;03.02.2019 06:00;1210
03.02.2019;07:00;03.02.2019 07:00;1360
03.02.2019;08:00;03.02.2019 08:00;1330
03.02.2019;09:00;03.02.2019 09:00;1480
